r2_key,public_url,uzbek_word,russian_gloss
signs/greeting/salom.mp4,,salom,привет
signs/greeting/xayr.mp4,,xayr,пока
signs/greeting/hayr.mp4,,hayr,пока
signs/greeting/xush_kelibsiz.mp4,,xush kelibsiz,добро пожаловать
signs/polite/albatta.mp4,,albatta,конечно
signs/pronoun/men.mp4,,men,я
signs/pronoun/sen.mp4,,sen,ты
signs/pronoun/biz.mp4,,biz,мы
signs/pronoun/siz.mp4,,siz,вы
signs/pronoun/bu.mp4,,bu,это
signs/pronoun/osha.mp4,,o'sha,тот
signs/pronoun/hamma.mp4,,hamma,все
signs/question/nima.mp4,,nima,что
signs/question/kim.mp4,,kim,кто
signs/question/qachon.mp4,,qachon,когда
signs/question/necha.mp4,,necha,сколько
signs/question/nega.mp4,,nega,почему
signs/question/qancha.mp4,,qancha,сколько
signs/family/aka.mp4,,aka,брат
signs/family/opa.mp4,,opa,сестра
signs/family/bola.mp4,,bola,ребёнок
signs/family/oila.mp4,,oila,семья
signs/family/er.mp4,,er,муж
signs/family/xotin.mp4,,xotin,жена
signs/family/ogil.mp4,,o'g'il,сын
signs/family/qiz.mp4,,qiz,дочь
signs/number/bir.mp4,,bir,один
signs/number/ikki.mp4,,ikki,два
signs/number/uch.mp4,,uch,три
signs/number/tort.mp4,,to'rt,четыре
signs/number/besh.mp4,,besh,пять
signs/number/olti.mp4,,olti,шесть
signs/number/yetti.mp4,,yetti,семь
signs/number/sakkiz.mp4,,sakkiz,восемь
signs/number/toqqiz.mp4,,to'qqiz,девять
signs/number/on.mp4,,o'n,десять
signs/number/on_bir.mp4,,o'n bir,одиннадцать
signs/number/on_ikki.mp4,,o'n ikki,двенадцать
signs/number/on_uch.mp4,,o'n uch,тринадцать
signs/number/on_tort.mp4,,o'n to'rt,четырнадцать
signs/number/on_besh.mp4,,o'n besh,пятнадцать
signs/number/on_olti.mp4,,o'n olti,шестнадцать
signs/number/on_yetti.mp4,,o'n yetti,семнадцать
signs/number/on_sakkiz.mp4,,o'n sakkiz,восемнадцать
signs/number/on_toqqiz.mp4,,o'n to'qqiz,девятнадцать
signs/number/yigirma.mp4,,yigirma,двадцать
signs/color/qizil.mp4,,qizil,красный
signs/color/kok.mp4,,ko'k,синий
signs/color/yashil.mp4,,yashil,зелёный
signs/color/sariq.mp4,,sariq,жёлтый
signs/color/oq.mp4,,oq,белый
signs/color/qora.mp4,,qora,чёрный
signs/color/pushti.mp4,,pushti,розовый
signs/color/jigarrang.mp4,,jigarrang,коричневый
signs/color/toq_sariq.mp4,,to'q sariq,оранжевый
signs/color/kulrang.mp4,,kulrang,серый
signs/action/bormoq.mp4,,bormoq,идти
signs/action/yemoq.mp4,,yemoq,есть
signs/action/ichmoq.mp4,,ichmoq,пить
signs/action/oqimoq.mp4,,o'qimoq,читать
signs/action/yozmoq.mp4,,yozmoq,писать
signs/action/gapirmoq.mp4,,gapirmoq,говорить
signs/action/tinglamoq.mp4,,tinglamoq,слушать
